epoc (ms),timestamp (-04:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1477768048841,2016-10-29T15.07.28.841,0.0,0.18310546875,1.40380859375,-0.6103515625
1477768048860,2016-10-29T15.07.28.860,0.01904296875,0.18310546875,1.5869140625,-0.67138671875
1477768048880,2016-10-29T15.07.28.880,0.03955078125,0.18310546875,1.708984375,-0.54931640625
1477768048901,2016-10-29T15.07.28.901,0.06005859375,0.18310546875,2.3193359375,-0.54931640625
1477768048921,2016-10-29T15.07.28.921,0.08056640625,0.18310546875,2.5634765625,-0.42724609375
1477768048942,2016-10-29T15.07.28.942,0.10107421875,0.244140625,1.953125,-0.42724609375
1477768048962,2016-10-29T15.07.28.962,0.12158203125,0.244140625,1.46484375,-0.54931640625
1477768048982,2016-10-29T15.07.28.982,0.140625,0.244140625,1.708984375,-0.54931640625
1477768049002,2016-10-29T15.07.29.002,0.1611328125,0.18310546875,2.0751953125,-0.54931640625
1477768049023,2016-10-29T15.07.29.023,0.181640625,0.18310546875,1.953125,-0.6103515625
1477768049043,2016-10-29T15.07.29.043,0.2021484375,0.244140625,1.708984375,-0.54931640625
1477768049064,2016-10-29T15.07.29.064,0.22265625,0.18310546875,2.01416015625,-0.54931640625
1477768049083,2016-10-29T15.07.29.083,0.24169921875,0.1220703125,2.13623046875,-0.54931640625
1477768049103,2016-10-29T15.07.29.103,0.26220703125,0.244140625,1.953125,-0.48828125
1477768049124,2016-10-29T15.07.29.124,0.28271484375,0.18310546875,1.8310546875,-0.54931640625
1477768049144,2016-10-29T15.07.29.144,0.30322265625,0.18310546875,1.953125,-0.48828125
1477768049165,2016-10-29T15.07.29.165,0.32373046875,0.18310546875,1.89208984375,-0.42724609375
1477768049185,2016-10-29T15.07.29.185,0.34423828125,0.244140625,1.708984375,-0.48828125
1477768049204,2016-10-29T15.07.29.204,0.36328125,0.1220703125,1.64794921875,-0.54931640625
1477768049225,2016-10-29T15.07.29.225,0.3837890625,0.244140625,2.25830078125,-0.54931640625
1477768049245,2016-10-29T15.07.29.245,0.404296875,0.244140625,2.50244140625,-0.48828125
1477768049266,2016-10-29T15.07.29.266,0.4248046875,0.18310546875,2.13623046875,-0.48828125
1477768049286,2016-10-29T15.07.29.286,0.4453125,0.18310546875,1.46484375,-0.48828125
1477768049308,2016-10-29T15.07.29.308,0.46728515625,0.18310546875,1.3427734375,-0.6103515625
1477768049326,2016-10-29T15.07.29.326,0.48486328125,0.244140625,1.953125,-0.54931640625
1477768049346,2016-10-29T15.07.29.346,0.50537109375,0.244140625,2.38037109375,-0.54931640625
1477768049367,2016-10-29T15.07.29.367,0.52587890625,0.18310546875,2.13623046875,-0.48828125
1477768049387,2016-10-29T15.07.29.387,0.54638671875,0.18310546875,1.708984375,-0.48828125
1477768049408,2016-10-29T15.07.29.408,0.56689453125,0.18310546875,1.8310546875,-0.54931640625
1477768049428,2016-10-29T15.07.29.428,0.58740234375,0.18310546875,2.0751953125,-0.54931640625
1477768049447,2016-10-29T15.07.29.447,0.6064453125,0.244140625,2.0751953125,-0.48828125
1477768049468,2016-10-29T15.07.29.468,0.626953125,0.244140625,1.77001953125,-0.54931640625
1477768049488,2016-10-29T15.07.29.488,0.6474609375,0.1220703125,1.64794921875,-0.54931640625
1477768049509,2016-10-29T15.07.29.509,0.66796875,0.1220703125,1.77001953125,-0.6103515625
1477768049529,2016-10-29T15.07.29.529,0.6884765625,0.1220703125,2.0751953125,-0.54931640625
1477768049548,2016-10-29T15.07.29.548,0.70751953125,0.18310546875,2.25830078125,-0.54931640625
1477768049569,2016-10-29T15.07.29.569,0.72802734375,0.18310546875,1.953125,-0.48828125
1477768049589,2016-10-29T15.07.29.589,0.74853515625,0.18310546875,1.52587890625,-0.54931640625
1477768049610,2016-10-29T15.07.29.610,0.76904296875,0.18310546875,1.77001953125,-0.54931640625
1477768049630,2016-10-29T15.07.29.630,0.78955078125,0.18310546875,2.197265625,-0.48828125
1477768049651,2016-10-29T15.07.29.651,0.81005859375,0.18310546875,2.197265625,-0.48828125
1477768049670,2016-10-29T15.07.29.670,0.8291015625,0.1220703125,1.8310546875,-0.54931640625
1477768049690,2016-10-29T15.07.29.690,0.849609375,0.18310546875,1.77001953125,-0.54931640625
1477768049711,2016-10-29T15.07.29.711,0.8701171875,0.18310546875,1.8310546875,-0.54931640625
1477768049732,2016-10-29T15.07.29.732,0.890625,0.244140625,2.01416015625,-0.48828125
1477768049752,2016-10-29T15.07.29.752,0.9111328125,0.18310546875,2.01416015625,-0.48828125
1477768049771,2016-10-29T15.07.29.771,0.93017578125,0.18310546875,1.953125,-0.48828125
1477768049792,2016-10-29T15.07.29.792,0.95068359375,0.244140625,1.8310546875,-0.48828125
1477768049812,2016-10-29T15.07.29.812,0.97119140625,0.18310546875,1.8310546875,-0.54931640625
1477768049833,2016-10-29T15.07.29.833,0.99169921875,0.1220703125,2.0751953125,-0.54931640625
1477768049853,2016-10-29T15.07.29.853,1.01220703125,0.18310546875,2.197265625,-0.54931640625
1477768049874,2016-10-29T15.07.29.874,1.03271484375,0.244140625,1.953125,-0.48828125
1477768049893,2016-10-29T15.07.29.893,1.0517578125,0.18310546875,1.46484375,-0.54931640625
1477768049913,2016-10-29T15.07.29.913,1.072265625,0.244140625,1.64794921875,-0.6103515625
1477768049934,2016-10-29T15.07.29.934,1.0927734375,0.18310546875,2.38037109375,-0.54931640625
1477768049954,2016-10-29T15.07.29.954,1.11328125,0.18310546875,2.50244140625,-0.48828125
1477768049975,2016-10-29T15.07.29.975,1.1337890625,0.1220703125,1.89208984375,-0.48828125
1477768049995,2016-10-29T15.07.29.995,1.154296875,0.18310546875,1.3427734375,-0.54931640625
1477768050014,2016-10-29T15.07.30.014,1.17333984375,0.18310546875,1.64794921875,-0.6103515625
1477768050035,2016-10-29T15.07.30.035,1.19384765625,0.18310546875,2.0751953125,-0.54931640625
1477768050055,2016-10-29T15.07.30.055,1.21435546875,0.1220703125,2.01416015625,-0.48828125
1477768050076,2016-10-29T15.07.30.076,1.23486328125,0.1220703125,1.89208984375,-0.48828125
1477768050096,2016-10-29T15.07.30.096,1.25537109375,0.244140625,2.25830078125,-0.54931640625
1477768050117,2016-10-29T15.07.30.117,1.27587890625,0.18310546875,2.3193359375,-0.48828125
1477768050136,2016-10-29T15.07.30.136,1.294921875,0.1220703125,1.5869140625,-0.54931640625
1477768050156,2016-10-29T15.07.30.156,1.3154296875,0.18310546875,1.15966796875,-0.6103515625
1477768050177,2016-10-29T15.07.30.177,1.3359375,0.244140625,1.64794921875,-0.54931640625
1477768050197,2016-10-29T15.07.30.197,1.3564453125,0.244140625,2.62451171875,-0.54931640625
1477768050218,2016-10-29T15.07.30.218,1.376953125,0.18310546875,2.685546875,-0.42724609375
1477768050237,2016-10-29T15.07.30.237,1.39599609375,0.18310546875,1.8310546875,-0.48828125
1477768050257,2016-10-29T15.07.30.257,1.41650390625,0.18310546875,1.40380859375,-0.48828125
1477768050278,2016-10-29T15.07.30.278,1.43701171875,0.18310546875,1.77001953125,-0.6103515625
1477768050298,2016-10-29T15.07.30.298,1.45751953125,0.18310546875,2.197265625,-0.54931640625
1477768050319,2016-10-29T15.07.30.319,1.47802734375,0.18310546875,2.01416015625,-0.48828125
1477768050339,2016-10-29T15.07.30.339,1.49853515625,0.18310546875,1.708984375,-0.48828125
1477768050358,2016-10-29T15.07.30.358,1.517578125,0.18310546875,1.77001953125,-0.48828125
1477768050379,2016-10-29T15.07.30.379,1.5380859375,0.18310546875,2.197265625,-0.54931640625
1477768050399,2016-10-29T15.07.30.399,1.55859375,0.18310546875,2.25830078125,-0.54931640625
1477768050420,2016-10-29T15.07.30.420,1.5791015625,0.18310546875,1.77001953125,-0.48828125
1477768050440,2016-10-29T15.07.30.440,1.599609375,0.244140625,1.5869140625,-0.48828125
1477768050460,2016-10-29T15.07.30.460,1.61865234375,0.244140625,1.953125,-0.54931640625
1477768050480,2016-10-29T15.07.30.480,1.63916015625,0.18310546875,2.01416015625,-0.6103515625
1477768050501,2016-10-29T15.07.30.501,1.65966796875,0.18310546875,1.8310546875,-0.54931640625
1477768050521,2016-10-29T15.07.30.521,1.68017578125,0.18310546875,1.77001953125,-0.48828125
1477768050542,2016-10-29T15.07.30.542,1.70068359375,0.244140625,2.13623046875,-0.54931640625
1477768050562,2016-10-29T15.07.30.562,1.72119140625,0.244140625,2.38037109375,-0.54931640625
1477768050581,2016-10-29T15.07.30.581,1.740234375,0.244140625,2.0751953125,-0.48828125
