epoc (ms),timestamp (-04:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1478042379948,2016-11-01T19.19.39.948,0.0,0.11279296875,-0.01171875,0.9775390625
1478042379969,2016-11-01T19.19.39.969,0.0205078125,0.11328125,-0.01171875,0.98583984375
1478042379989,2016-11-01T19.19.39.989,0.041015625,0.11328125,-0.01220703125,0.9814453125
1478042380010,2016-11-01T19.19.40.010,0.0615234375,0.11328125,-0.01171875,0.98193359375
1478042380030,2016-11-01T19.19.40.030,0.08203125,0.11181640625,-0.01123046875,0.982421875
1478042380050,2016-11-01T19.19.40.050,0.10107421875,0.1142578125,-0.01025390625,0.9814453125
1478042380070,2016-11-01T19.19.40.070,0.12158203125,0.115234375,-0.01171875,0.98095703125
1478042380091,2016-11-01T19.19.40.091,0.14208984375,0.11328125,-0.0107421875,0.9814453125
1478042380110,2016-11-01T19.19.40.110,0.1611328125,0.11279296875,-0.01171875,0.98095703125
1478042380132,2016-11-01T19.19.40.132,0.18310546875,0.11328125,-0.0107421875,0.9794921875
1478042380151,2016-11-01T19.19.40.151,0.2021484375,0.11328125,-0.01220703125,0.98291015625
1478042380171,2016-11-01T19.19.40.171,0.22265625,0.11328125,-0.01123046875,0.982421875
1478042380192,2016-11-01T19.19.40.192,0.2431640625,0.11328125,-0.01171875,0.98193359375
1478042380212,2016-11-01T19.19.40.212,0.263671875,0.11376953125,-0.0107421875,0.98291015625
1478042380231,2016-11-01T19.19.40.231,0.28271484375,0.11328125,-0.01171875,0.98095703125
1478042380252,2016-11-01T19.19.40.252,0.30322265625,0.115234375,-0.01171875,0.98193359375
1478042380272,2016-11-01T19.19.40.272,0.32373046875,0.1142578125,-0.01220703125,0.98095703125
1478042380293,2016-11-01T19.19.40.293,0.34423828125,0.11328125,-0.0107421875,0.98095703125
1478042380313,2016-11-01T19.19.40.313,0.36474609375,0.11376953125,-0.01318359375,0.98291015625
1478042380334,2016-11-01T19.19.40.334,0.38525390625,0.1142578125,-0.01171875,0.984375
1478042380353,2016-11-01T19.19.40.353,0.404296875,0.115234375,-0.01123046875,0.98291015625
1478042380373,2016-11-01T19.19.40.373,0.4248046875,0.115234375,-0.01220703125,0.982421875
1478042380394,2016-11-01T19.19.40.394,0.4453125,0.11279296875,-0.01171875,0.98193359375
1478042380414,2016-11-01T19.19.40.414,0.4658203125,0.11474609375,-0.01171875,0.984375
1478042380435,2016-11-01T19.19.40.435,0.486328125,0.11328125,-0.01171875,0.9833984375
1478042380455,2016-11-01T19.19.40.455,0.5068359375,0.11376953125,-0.0126953125,0.97998046875
1478042380474,2016-11-01T19.19.40.474,0.52587890625,0.1142578125,-0.01171875,0.9814453125
1478042380495,2016-11-01T19.19.40.495,0.54638671875,0.115234375,-0.01171875,0.982421875
1478042380515,2016-11-01T19.19.40.515,0.56689453125,0.1142578125,-0.0126953125,0.9833984375
1478042380536,2016-11-01T19.19.40.536,0.58740234375,0.11328125,-0.01171875,0.982421875
1478042380556,2016-11-01T19.19.40.556,0.60791015625,0.11572265625,-0.01123046875,0.98291015625
1478042380575,2016-11-01T19.19.40.575,0.626953125,0.11328125,-0.01171875,0.982421875
1478042380596,2016-11-01T19.19.40.596,0.6474609375,0.11279296875,-0.01123046875,0.98486328125
1478042380616,2016-11-01T19.19.40.616,0.66796875,0.11181640625,-0.01318359375,0.9833984375
1478042380637,2016-11-01T19.19.40.637,0.6884765625,0.1142578125,-0.01220703125,0.982421875
1478042380657,2016-11-01T19.19.40.657,0.708984375,0.1123046875,-0.01123046875,0.98193359375
1478042380678,2016-11-01T19.19.40.678,0.7294921875,0.11376953125,-0.01171875,0.98388671875
1478042380697,2016-11-01T19.19.40.697,0.74853515625,0.1142578125,-0.0126953125,0.98291015625
1478042380717,2016-11-01T19.19.40.717,0.76904296875,0.11572265625,-0.0126953125,0.98291015625
1478042380738,2016-11-01T19.19.40.738,0.78955078125,0.11376953125,-0.0126953125,0.98388671875
1478042380759,2016-11-01T19.19.40.759,0.81005859375,0.11328125,-0.0107421875,0.98388671875
1478042380779,2016-11-01T19.19.40.779,0.83056640625,0.1142578125,-0.01220703125,0.9814453125
1478042380800,2016-11-01T19.19.40.800,0.85107421875,0.11279296875,-0.0107421875,0.98193359375
1478042380819,2016-11-01T19.19.40.819,0.8701171875,0.11328125,-0.01025390625,0.98291015625
1478042380839,2016-11-01T19.19.40.839,0.890625,0.11328125,-0.01123046875,0.98193359375
1478042380860,2016-11-01T19.19.40.860,0.9111328125,0.11279296875,-0.01171875,0.98095703125
1478042380880,2016-11-01T19.19.40.880,0.931640625,0.11279296875,-0.01123046875,0.98291015625
1478042380901,2016-11-01T19.19.40.901,0.9521484375,0.1162109375,-0.01123046875,0.98388671875
1478042380920,2016-11-01T19.19.40.920,0.97119140625,0.11474609375,-0.01220703125,0.98193359375
1478042380940,2016-11-01T19.19.40.940,0.99169921875,0.11376953125,-0.01220703125,0.9814453125
1478042380961,2016-11-01T19.19.40.961,1.01220703125,0.1142578125,-0.0107421875,0.98291015625
1478042380981,2016-11-01T19.19.40.981,1.03271484375,0.1142578125,-0.0107421875,0.98193359375
1478042381002,2016-11-01T19.19.41.002,1.05322265625,0.11376953125,-0.01220703125,0.98291015625
1478042381022,2016-11-01T19.19.41.022,1.07373046875,0.11328125,-0.01123046875,0.98291015625
1478042381041,2016-11-01T19.19.41.041,1.0927734375,0.11376953125,-0.01171875,0.98095703125
1478042381062,2016-11-01T19.19.41.062,1.11328125,0.1142578125,-0.0107421875,0.98046875
