epoc (ms),timestamp (-04:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1478042378811,2016-11-01T19.19.38.811,0.0,0.13134765625,0.04345703125,0.990234375
1478042378832,2016-11-01T19.19.38.832,0.0205078125,0.1318359375,0.04443359375,0.99853515625
1478042378851,2016-11-01T19.19.38.851,0.03955078125,0.130859375,0.044921875,0.99560546875
1478042378871,2016-11-01T19.19.38.871,0.06005859375,0.13037109375,0.0439453125,0.9970703125
1478042378890,2016-11-01T19.19.38.890,0.0791015625,0.130859375,0.04248046875,0.998046875
1478042378911,2016-11-01T19.19.38.911,0.099609375,0.13232421875,0.0419921875,0.99658203125
1478042378931,2016-11-01T19.19.38.931,0.1201171875,0.13134765625,0.04443359375,0.99658203125
1478042378950,2016-11-01T19.19.38.950,0.13916015625,0.13232421875,0.04248046875,0.99365234375
1478042378971,2016-11-01T19.19.38.971,0.15966796875,0.13232421875,0.04248046875,0.99462890625
1478042378991,2016-11-01T19.19.38.991,0.18017578125,0.1318359375,0.04345703125,0.9951171875
1478042379010,2016-11-01T19.19.39.010,0.19921875,0.13232421875,0.04296875,0.99609375
1478042379031,2016-11-01T19.19.39.031,0.2197265625,0.13037109375,0.0439453125,0.9970703125
1478042379050,2016-11-01T19.19.39.050,0.23876953125,0.1318359375,0.04345703125,0.99609375
1478042379070,2016-11-01T19.19.39.070,0.25927734375,0.13232421875,0.04296875,0.99755859375
1478042379089,2016-11-01T19.19.39.089,0.2783203125,0.13037109375,0.041015625,0.99560546875
1478042379110,2016-11-01T19.19.39.110,0.298828125,0.13134765625,0.04150390625,0.99462890625
1478042379130,2016-11-01T19.19.39.130,0.3193359375,0.1318359375,0.0419921875,0.99462890625
1478042379150,2016-11-01T19.19.39.150,0.33837890625,0.13134765625,0.041015625,0.99560546875
1478042379170,2016-11-01T19.19.39.170,0.35888671875,0.13134765625,0.04150390625,0.9951171875
1478042379191,2016-11-01T19.19.39.191,0.37939453125,0.13134765625,0.04296875,0.99560546875
1478042379210,2016-11-01T19.19.39.210,0.3984375,0.1318359375,0.041015625,0.99853515625
1478042379230,2016-11-01T19.19.39.230,0.4189453125,0.1318359375,0.04248046875,0.99658203125
1478042379249,2016-11-01T19.19.39.249,0.43798828125,0.13134765625,0.04248046875,0.998046875
1478042379270,2016-11-01T19.19.39.270,0.45849609375,0.1318359375,0.04296875,0.99658203125
1478042379290,2016-11-01T19.19.39.290,0.47900390625,0.1328125,0.04248046875,0.99560546875
1478042379309,2016-11-01T19.19.39.309,0.498046875,0.1318359375,0.04150390625,0.9990234375
1478042379330,2016-11-01T19.19.39.330,0.5185546875,0.130859375,0.0439453125,0.99658203125
1478042379349,2016-11-01T19.19.39.349,0.53759765625,0.130859375,0.04150390625,0.99755859375
1478042379369,2016-11-01T19.19.39.369,0.55810546875,0.13134765625,0.04345703125,0.99609375
1478042379390,2016-11-01T19.19.39.390,0.57861328125,0.1318359375,0.04345703125,0.9970703125
1478042379409,2016-11-01T19.19.39.409,0.59765625,0.1318359375,0.0419921875,0.9970703125
1478042379429,2016-11-01T19.19.39.429,0.6181640625,0.1318359375,0.0439453125,0.99560546875
1478042379448,2016-11-01T19.19.39.448,0.63720703125,0.130859375,0.04150390625,0.99755859375
1478042379469,2016-11-01T19.19.39.469,0.65771484375,0.1328125,0.03955078125,0.99609375
1478042379489,2016-11-01T19.19.39.489,0.67822265625,0.13037109375,0.0400390625,0.99658203125
1478042379508,2016-11-01T19.19.39.508,0.697265625,0.13232421875,0.04296875,0.99658203125
1478042379529,2016-11-01T19.19.39.529,0.7177734375,0.130859375,0.0419921875,0.99853515625
1478042379548,2016-11-01T19.19.39.548,0.73681640625,0.13134765625,0.03955078125,0.9951171875
1478042379568,2016-11-01T19.19.39.568,0.75732421875,0.130859375,0.04052734375,0.998046875
1478042379589,2016-11-01T19.19.39.589,0.77783203125,0.13134765625,0.04296875,0.99853515625
1478042379608,2016-11-01T19.19.39.608,0.796875,0.130859375,0.04150390625,0.9951171875
1478042379629,2016-11-01T19.19.39.629,0.8173828125,0.1318359375,0.04150390625,0.9990234375
1478042379648,2016-11-01T19.19.39.648,0.83642578125,0.1298828125,0.04150390625,1.0
1478042379668,2016-11-01T19.19.39.668,0.85693359375,0.1318359375,0.04150390625,0.99951171875
1478042379689,2016-11-01T19.19.39.689,0.87744140625,0.13232421875,0.04052734375,0.9970703125
1478042379708,2016-11-01T19.19.39.708,0.896484375,0.13232421875,0.04296875,0.9951171875
1478042379728,2016-11-01T19.19.39.728,0.9169921875,0.13134765625,0.04150390625,0.998046875
1478042379747,2016-11-01T19.19.39.747,0.93603515625,0.130859375,0.04296875,0.99853515625
1478042379768,2016-11-01T19.19.39.768,0.95654296875,0.1318359375,0.04248046875,0.99609375
1478042379788,2016-11-01T19.19.39.788,0.97705078125,0.1318359375,0.04052734375,0.99658203125
1478042379807,2016-11-01T19.19.39.807,0.99609375,0.13232421875,0.0419921875,0.9970703125
1478042379828,2016-11-01T19.19.39.828,1.0166015625,0.13232421875,0.04345703125,0.99755859375
